[root@localhost ~]# systemctl list-unit-files --type=service --no-pager
UNIT FILE                                             STATE           PRESET
systemd-hibernate-clear.service                       static          -
systemd-hibernate-resume.service                      static          -
systemd-hibernate.service                             static          -
systemd-hostnamed.service                             static          -
systemd-hwdb-update.service                           static          -
systemd-hybrid-sleep.service                          static          -
systemd-initctl.service                               static          -
systemd-journal-catalog-update.service                static          -
systemd-journal-flush.service                         static          -
systemd-journald-sync@.service                        static          -
systemd-journald.service                              static          -
systemd-journald@.service                             static          -
systemd-kexec.service                                 static          -
systemd-localed.service                               static          -
systemd-logind.service                                static          -
systemd-machine-id-commit.service                     static          -
systemd-modules-load.service                          static          -
systemd-network-generator.service                     enabled         enabled
systemd-pcrextend@.service                            static          -
systemd-pcrfs-root.service                            static          -
systemd-pcrfs@.service                                static          -
systemd-pcrlock-file-system.service                   disabled        disabled
systemd-pcrlock-firmware-code.service                 disabled        disabled
systemd-pcrlock-firmware-config.service               disabled        disabled
systemd-pcrlock-machine-id.service                    disabled        disabled
systemd-pcrlock-make-policy.service                   disabled        disabled
systemd-pcrlock-secureboot-authority.service          disabled        disabled
systemd-pcrlock-secureboot-policy.service             disabled        disabled
systemd-pcrlock@.service                              static          -
systemd-pcrmachine.service                            static          -
systemd-pcrphase-initrd.service                       static          -
systemd-pcrphase-sysinit.service                      static          -
systemd-pcrphase.service                              static          -
systemd-poweroff.service                              static          -
systemd-pstore.service                                enabled         enabled
systemd-quotacheck-root.service                       static          -
systemd-quotacheck@.service                           static          -
systemd-random-seed.service                           static          -
systemd-reboot.service                                static          -
systemd-remount-fs.service                            enabled-runtime disabled
systemd-repart.service                                static          -
systemd-rfkill.service                                static          -
systemd-soft-reboot.service                           static          -
systemd-suspend-then-hibernate.service                static          -
systemd-suspend.service                               static          -
systemd-sysctl.service                                static          -
systemd-sysext.service                                enabled         enabled
systemd-sysext@.service                               static          -
systemd-sysupdate-reboot.service                      indirect        disabled
systemd-sysupdate.service                             indirect        disabled
systemd-sysusers.service                              static          -
systemd-timedated.service                             static          -
systemd-tmpfiles-clean.service                        static          -
systemd-tmpfiles-setup-dev-early.service              static          -
systemd-tmpfiles-setup-dev.service                    static          -
systemd-tmpfiles-setup.service                        static          -
systemd-tpm2-setup-early.service                      static          -
systemd-tpm2-setup.service                            static          -
systemd-udev-load-credentials.service                 disabled        disabled
systemd-udev-settle.service                           static          -
systemd-udev-trigger.service                          static          -
systemd-udevd.service                                 static          -
systemd-update-done.service                           static          -
systemd-update-utmp-runlevel.service                  static          -
systemd-update-utmp.service                           static          -
systemd-user-sessions.service                         static          -
systemd-userdbd.service                               indirect        disabled
systemd-vconsole-setup.service                        static          -
systemd-volatile-root.service                         static          -
user-runtime-dir@.service                             static          -
user@.service                                         static          -
yggdrasil-bus@.service                                static          -
yggdrasil.service                                     disabled        disabled
yggdrasil@.service                                    disabled        disabled

193 unit files listed.
